sample,node_id,source,ch4_vol_pct,expected,observed,match,http_round_trip_ms
1,N01,simulation,0.2,SIN_ALERTA,SIN_ALERTA,True,1.898
2,N01,simulation,0.4999,SIN_ALERTA,SIN_ALERTA,True,1.412
3,N01,simulation,0.5,PRECAUCION,PRECAUCION,True,1.635
4,N01,simulation,0.9999,PRECAUCION,PRECAUCION,True,1.296
5,N01,simulation,1.0,ALARMA,ALARMA,True,1.621
6,N01,simulation,1.01,ALARMA,ALARMA,True,1.511
7,N01,simulation,0.2,SIN_ALERTA,SIN_ALERTA,True,1.332
8,N01,simulation,0.4999,SIN_ALERTA,SIN_ALERTA,True,1.722
9,N01,simulation,0.5,PRECAUCION,PRECAUCION,True,1.409
10,N01,simulation,0.9999,PRECAUCION,PRECAUCION,True,1.449
11,N01,simulation,1.0,ALARMA,ALARMA,True,1.388
12,N01,simulation,1.01,ALARMA,ALARMA,True,1.414
13,N01,simulation,0.2,SIN_ALERTA,SIN_ALERTA,True,1.336
14,N01,simulation,0.4999,SIN_ALERTA,SIN_ALERTA,True,1.454
15,N01,simulation,0.5,PRECAUCION,PRECAUCION,True,1.648
16,N01,simulation,0.9999,PRECAUCION,PRECAUCION,True,1.413
17,N01,simulation,1.0,ALARMA,ALARMA,True,1.425
18,N01,simulation,1.01,ALARMA,ALARMA,True,1.342
19,N01,simulation,0.2,SIN_ALERTA,SIN_ALERTA,True,3.828
20,N01,simulation,0.4999,SIN_ALERTA,SIN_ALERTA,True,2.189
21,N01,simulation,0.5,PRECAUCION,PRECAUCION,True,2.448
22,N01,simulation,0.9999,PRECAUCION,PRECAUCION,True,1.354
23,N01,simulation,1.0,ALARMA,ALARMA,True,1.803
24,N01,simulation,1.01,ALARMA,ALARMA,True,1.598
25,N01,simulation,0.2,SIN_ALERTA,SIN_ALERTA,True,2.012
26,N01,simulation,0.4999,SIN_ALERTA,SIN_ALERTA,True,5.747
27,N01,simulation,0.5,PRECAUCION,PRECAUCION,True,1.673
28,N01,simulation,0.9999,PRECAUCION,PRECAUCION,True,2.196
29,N01,simulation,1.0,ALARMA,ALARMA,True,2.362
30,N01,simulation,1.01,ALARMA,ALARMA,True,1.822
